2025-11-02 20:41:17 | INFO     | logger:info:57 | Watching patterns: ['*.py', '*.js', '*.jsx', '*.ts', '*.tsx', '*.html', '*.css', '*.json', '*.md']
2025-11-02 20:41:17 | INFO     | logger:info:57 | Sync loop started (interval: 15s)
2025-11-02 20:41:17 | INFO     | logger:info:57 | Wave.AI sync engine started
2025-11-02 20:41:21 | INFO     | logger:info:57 | File watcher stopped
2025-11-02 20:41:23 | INFO     | logger:info:57 | Wave.AI sync engine stopped
2025-11-02 20:41:45 | INFO     | logger:info:57 | Theme changed to: midnight
2025-11-02 20:41:45 | INFO     | logger:info:57 | Settings saved successfully
2025-11-02 20:46:34 | INFO     | logger:info:57 | Starting Wave.AI in GUI mode
2025-11-02 20:46:35 | INFO     | logger:info:57 | Starting Wave.AI GUI
2025-11-02 20:46:35 | INFO     | logger:info:57 | Created tab 0: Perplexity 1
2025-11-02 20:46:36 | INFO     | logger:info:57 | Wave.AI window loaded
2025-11-02 20:46:36 | INFO     | logger:info:57 | Initializing sync engine...
2025-11-02 20:46:36 | INFO     | logger:info:57 | Initializing Git sync for https://github.com/axzaxzz/AppTesting/
2025-11-02 20:46:36 | INFO     | logger:info:57 | Opened existing repository at C:\Users\janny\Desktop\testrepo
2025-11-02 20:46:36 | INFO     | logger:info:57 | Fetching all branches from origin...
2025-11-02 20:46:37 | INFO     | logger:info:57 | Created checkpoint: Initial checkpoint
2025-11-02 20:46:37 | INFO     | logger:info:57 | Wave.AI sync engine initialized successfully
2025-11-02 20:46:37 | INFO     | logger:info:57 | Sync engine initialized successfully
2025-11-02 20:46:37 | INFO     | logger:info:57 | File watcher started for: C:\Users\janny\Desktop\testrepo
2025-11-02 20:46:37 | INFO     | logger:info:57 | Watching patterns: ['*.py', '*.js', '*.jsx', '*.ts', '*.tsx', '*.html', '*.css', '*.json', '*.md']
2025-11-02 20:46:37 | INFO     | logger:info:57 | Sync loop started (interval: 15s)
2025-11-02 20:46:37 | INFO     | logger:info:57 | Wave.AI sync engine started
2025-11-02 20:52:58 | INFO     | logger:info:57 | Starting Wave.AI in GUI mode
2025-11-02 20:52:58 | INFO     | logger:info:57 | Starting Wave.AI GUI
2025-11-02 20:52:58 | INFO     | logger:info:57 | Created tab 0: Perplexity 1
2025-11-02 20:53:00 | INFO     | logger:info:57 | Wave.AI window loaded
2025-11-02 20:53:00 | INFO     | logger:info:57 | Initializing sync engine...
2025-11-02 20:53:00 | INFO     | logger:info:57 | Initializing Git sync for https://github.com/axzaxzz/AppTesting/
